"wavelength","reflectance","feature"
639,1.01501454796349,"NTrZ"
640,1.01779795308074,"NTrZ"
641,1.02045189273756,"NTrZ"
642,1.0226957956445,"NTrZ"
643,1.02422513967633,"NTrZ"
644,1.02481416146965,"NTrZ"
645,1.02455213270827,"NTrZ"
646,1.02360708383784,"NTrZ"
647,1.02214499909434,"NTrZ"
648,1.02032367787525,"NTrZ"
649,1.0182988733684,"NTrZ"
650,1.01622633876162,"NTrZ"
651,1.01423776914697,"NTrZ"
652,1.01236862723337,"NTrZ"
653,1.01063031763397,"NTrZ"
654,1.0090300630238,"NTrZ"
655,1.00755835832538,"NTrZ"
656,1.00620151652313,"NTrZ"
657,1.00494599172371,"NTrZ"
658,1.00377880252288,"NTrZ"
659,1.00268710863866,"NTrZ"
660,1.00165736251069,"NTrZ"
661,1.00067318746512,"NTrZ"
662,0.999717499549725,"NTrZ"
663,0.998773358379891,"NTrZ"
664,0.997824397841411,"NTrZ"
665,0.996854395387687,"NTrZ"
666,0.995850866480794,"NTrZ"
667,0.994816278617499,"NTrZ"
668,0.99375683730324,"NTrZ"
669,0.992678748043459,"NTrZ"
670,0.991594051884105,"NTrZ"
671,0.990538132033175,"NTrZ"
672,0.989552207239173,"NTrZ"
673,0.988677097502091,"NTrZ"
674,0.987952027827866,"NTrZ"
675,0.98741582447392,"NTrZ"
676,0.987096962902186,"NTrZ"
677,0.986982515392644,"NTrZ"
678,0.987049203429783,"NTrZ"
679,0.98727094147069,"NTrZ"
680,0.987610415862846,"NTrZ"
681,0.988027505926329,"NTrZ"
682,0.988487577257118,"NTrZ"
683,0.988977940554798,"NTrZ"
684,0.989491392794853,"NTrZ"
685,0.990020730952772,"NTrZ"
686,0.990564484293872,"NTrZ"
687,0.991144111242813,"NTrZ"
688,0.991786802514087,"NTrZ"
689,0.992522708080379,"NTrZ"
690,0.993393814947147,"NTrZ"
691,0.994445069378042,"NTrZ"
692,0.99571235131129,"NTrZ"
693,0.997195275383408,"NTrZ"
694,0.998884389905492,"NTrZ"
695,1.00075616078081,"NTrZ"
696,1.0027307242813,"NTrZ"
697,1.00471413427111,"NTrZ"
698,1.00661083387147,"NTrZ"
699,1.00831882323206,"NTrZ"
700,1.00973449175966,"NTrZ"
701,1.0107738098173,"NTrZ"
702,1.01143107159294,"NTrZ"
703,1.01172015223078,"NTrZ"
704,1.01165492687502,"NTrZ"
705,1.01125507633552,"NTrZ"
706,1.01056350408492,"NTrZ"
707,1.0096289192615,"NTrZ"
708,1.00851106566461,"NTrZ"
709,1.00731382573776,"NTrZ"
710,1.00615211658554,"NTrZ"
711,1.00514321225768,"NTrZ"
712,1.00441381458454,"NTrZ"
713,1.00409298234167,"NTrZ"
714,1.00427274435892,"NTrZ"
715,1.00489700968336,"NTrZ"
716,1.00587265741639,"NTrZ"
717,1.00710989393923,"NTrZ"
718,1.0085322347525,"NTrZ"
719,1.01006652263663,"NTrZ"
720,1.01163960037206,"NTrZ"
