"wavelength","reflectance","feature"
647,1.00710799342062,"NEB"
648,1.00698662109909,"NEB"
649,1.00634839264802,"NEB"
650,1.00533457511576,"NEB"
651,1.00408455374481,"NEB"
652,1.00273018655449,"NEB"
653,1.00140144975828,"NEB"
654,1.00020960019634,"NEB"
655,0.99919101721561,"NEB"
656,0.998363360789679,"NEB"
657,0.997737426612172,"NEB"
658,0.997296553256778,"NEB"
659,0.997017215017201,"NEB"
660,0.996876204318654,"NEB"
661,0.996851586112371,"NEB"
662,0.996921743481094,"NEB"
663,0.997068579633912,"NEB"
664,0.9972880782853,"NEB"
665,0.997579743276081,"NEB"
666,0.997941489996548,"NEB"
667,0.998364880034877,"NEB"
668,0.998839886528715,"NEB"
669,0.999356482615712,"NEB"
670,0.999904919274855,"NEB"
671,1.0004765588505,"NEB"
672,1.00106304152833,"NEB"
673,1.00165801597716,"NEB"
674,1.00226316479825,"NEB"
675,1.00288217907597,"NEB"
676,1.00352023204259,"NEB"
677,1.00418842552185,"NEB"
678,1.00489934348541,"NEB"
679,1.00566773844528,"NEB"
680,1.00651703707507,"NEB"
681,1.00747283458874,"NEB"
682,1.00854983950292,"NEB"
683,1.00971921354469,"NEB"
684,1.01094123174375,"NEB"
685,1.01217616912982,"NEB"
686,1.01337388890051,"NEB"
687,1.01444260692506,"NEB"
688,1.01528012724061,"NEB"
689,1.01580466321826,"NEB"
690,1.0160160655649,"NEB"
691,1.01593459432136,"NEB"
692,1.01558808973047,"NEB"
693,1.01503471284301,"NEB"
694,1.01434020491177,"NEB"
695,1.01356833706786,"NEB"
696,1.01277499995581,"NEB"
697,1.01201411409847,"NEB"
698,1.01133900776649,"NEB"
699,1.01080064022161,"NEB"
700,1.01044937847336,"NEB"
701,1.01032341568877,"NEB"
702,1.01041224966497,"NEB"
703,1.01069320435656,"NEB"
704,1.01114360371819,"NEB"
705,1.01173323004219,"NEB"
706,1.01240169897175,"NEB"
707,1.01308108448779,"NEB"
708,1.01370146338484,"NEB"
709,1.014184923712,"NEB"
710,1.01445155633201,"NEB"
711,1.01442714020878,"NEB"
712,1.01406020671104,"NEB"
713,1.01330497530873,"NEB"
714,1.01213392352476,"NEB"
715,1.01059256109406,"NEB"
716,1.00874465580455,"NEB"
717,1.00665426152909,"NEB"
718,1.00438657648035,"NEB"
719,1.00200708495593,"NEB"
720,0.999581271253451,"NEB"
